Cert1,SerialNumber1,Type1,Cert2,SerialNumber2,Type2,Difference
esed-redos.kodeks.ru,18060EFBDED0102FC023E43B12E,precertificate,jira.rgsbank.ru,18060FEA9D1684D1D59A4B36CA8,precertificate,22
jira.rgsbank.ru,18060FEA9D1684D1D59A4B36CA8,precertificate,*.rt.ru,1806109169E235700E5F5E28AF4,precertificate,22
*.rt.ru,1806109169E235700E5F5E28AF4,precertificate,*.cp.transneft.ru,180611B215C4583E52CB4D5208B,precertificate,22
*.cp.transneft.ru,180611B215C4583E52CB4D5208B,precertificate,*.incomsib.ru,180611EAA215A1502CA1AE1BE1F,precertificate,22
*.incomsib.ru,180611EAA215A1502CA1AE1BE1F,precertificate,napolkelegal.ru,180612143DA46F4B48CEC675CD6,precertificate,21
napolkelegal.ru,180612143DA46F4B48CEC675CD6,precertificate,*.pcbk.ru,1806123B8FA5B7F1D7A3EBA45F4,precertificate,19
*.pcbk.ru,1806123B8FA5B7F1D7A3EBA45F4,precertificate,*.hmnpf.ru,1806136487C6167BA17E1B92622,precertificate,23
*.hmnpf.ru,1806136487C6167BA17E1B92622,precertificate,*.compass.com.ru,1806143C843E6045656F50F2B3A,precertificate,21
*.compass.com.ru,1806143C843E6045656F50F2B3A,precertificate,*.moisport.ru,18061468BFD442E1B044C1EAD9D,precertificate,19
*.moisport.ru,18061468BFD442E1B044C1EAD9D,precertificate,*.tfi-urfo.ru,1806149E371F92C20DFEF97B814,precertificate,20
*.tfi-urfo.ru,1806149E371F92C20DFEF97B814,precertificate,t.ms-box.ru,180614C7BBAF2834E405B4E092B,precertificate,21
t.ms-box.ru,180614C7BBAF2834E405B4E092B,precertificate,*.realistbank.ru,180614F5B7CDBB4CCC9E40FE1F7,precertificate,21
*.realistbank.ru,180614F5B7CDBB4CCC9E40FE1F7,precertificate,*.tyumen-polis.ru,1806151818B6005D32B5E9B5839,precertificate,20
*.tyumen-polis.ru,1806151818B6005D32B5E9B5839,precertificate,*.biblioteka29.ru,18064A3CED09D14F82CB595589F,precertificate,23
*.biblioteka29.ru,18064A3CED09D14F82CB595589F,precertificate,*.bankperm.ru,18064A5F8D75A2679C82981FE0F,precertificate,20
*.bankperm.ru,18064A5F8D75A2679C82981FE0F,precertificate,*.sog.ru,18064A85EC7F6A1B0132CECBB11,precertificate,22
*.sog.ru,18064A85EC7F6A1B0132CECBB11,precertificate,*.absolutbank.ru,18064AB27C11CC55DEC29B02C6F,precertificate,21
*.absolutbank.ru,18064AB27C11CC55DEC29B02C6F,precertificate,*.modernsys.ru,18064ADBD93C6864A72F73FDF3F,precertificate,22
*.modernsys.ru,18064ADBD93C6864A72F73FDF3F,precertificate,ibankpriv.forshtadt.ru,18064B004B26B8F5BB0127FF6A1,precertificate,19
ibankpriv.forshtadt.ru,18064B004B26B8F5BB0127FF6A1,precertificate,*.nvtc.ru,18064B2AEDC3E65A305F5058801,precertificate,22
*.nvtc.ru,18064B2AEDC3E65A305F5058801,precertificate,ibank2.mosoblbank.ru,18064B53ED524EF3136FC34F941,precertificate,21
ibank2.mosoblbank.ru,18064B53ED524EF3136FC34F941,precertificate,ibank.mosoblbank.ru,18064B55E9FD503841E7E9AFC20,precertificate,21
ibank.mosoblbank.ru,18064B55E9FD503841E7E9AFC20,precertificate,*.peremena.group,18064B7F116C559E1C8913FF845,precertificate,22
*.peremena.group,18064B7F116C559E1C8913FF845,precertificate,disk.sbercloud.tech,18065679AE5F22EA3EBB3ED8B4C,precertificate,22
disk.sbercloud.tech,18065679AE5F22EA3EBB3ED8B4C,precertificate,*.cp.sbercloud.dev,1806567B6068B49A8EBB3EDB305,precertificate,21
*.cp.sbercloud.dev,1806567B6068B49A8EBB3EDB305,precertificate,auth.sbercloud.ru,1806567BFB7C6A0ACEBB3ED0329,precertificate,19
auth.sbercloud.ru,1806567BFB7C6A0ACEBB3ED0329,precertificate,api.sks.dzo.sbercloud.org,1806567DBB61641B7E8B3ED3BDA,precertificate,21
api.sks.dzo.sbercloud.org,1806567DBB61641B7E8B3ED3BDA,precertificate,dsworks.ru,1806567EBA7E9B2AFEBB3ED83DB,precertificate,20
dsworks.ru,1806567EBA7E9B2AFEBB3ED83DB,precertificate,docs.sbercloud.ru,1806567F85F70BAACEBB3ED0329,precertificate,19
docs.sbercloud.ru,1806567F85F70BAACEBB3ED0329,precertificate,api.sbercloud.ru,180656803000338AEEBB3ED0329,precertificate,21
api.sbercloud.ru,180656803000338AEEBB3ED0329,precertificate,*.infer.hc.sbercloud.ru,180656811A8307552EBB3ED0329,precertificate,21
*.infer.hc.sbercloud.ru,180656811A8307552EBB3ED0329,precertificate,extapi1c.sbercloud.tech,18065682AC87AE862EBB3ED8B4C,precertificate,20
extapi1c.sbercloud.tech,18065682AC87AE862EBB3ED8B4C,precertificate,pkg.sbercloud.tech,18065683C093A51A9EBB3ED8B4C,precertificate,19
pkg.sbercloud.tech,18065683C093A51A9EBB3ED8B4C,precertificate,hstxmgr10.dzo.sbercloud.org,180656845C996411AE7B3ED3BDA,precertificate,17
hstxmgr10.dzo.sbercloud.org,180656845C996411AE7B3ED3BDA,precertificate,obs.ru-moscow-1.hc.sbercloud.ru,180656857B180505734B3ED0329,precertificate,21
obs.ru-moscow-1.hc.sbercloud.ru,180656857B180505734B3ED0329,precertificate,api.sbercloud.tech,18065686171BE87A9EBB3ED8B4C,precertificate,19
api.sbercloud.tech,18065686171BE87A9EBB3ED8B4C,precertificate,*.mng.sbercloud.tech,18065686F119208B0EBB3ED8B4C,precertificate,21
*.mng.sbercloud.tech,18065686F119208B0EBB3ED8B4C,precertificate,dzo.sbercloud.ru,18065687AC27C3BAEEBB3ED0329,precertificate,20
dzo.sbercloud.ru,18065687AC27C3BAEEBB3ED0329,precertificate,jira.sbercloud.tech,180656885C2369CA3EBB3ED8B4C,precertificate,21
jira.sbercloud.tech,180656885C2369CA3EBB3ED8B4C,precertificate,*.apig.ru-moscow-1.hc.sbercloud.ru,18065689D6A80503803B4ED0329,precertificate,20
*.apig.ru-moscow-1.hc.sbercloud.ru,18065689D6A80503803B4ED0329,precertificate,api.smo.dzo.sbercloud.org,1806568A7E99678B7E8B3ED3BDA,precertificate,19
api.smo.dzo.sbercloud.org,1806568A7E99678B7E8B3ED3BDA,precertificate,console.sbercloud.ru,1806568B31231C5B7EBB3ED0329,precertificate,20
console.sbercloud.ru,1806568B31231C5B7EBB3ED0329,precertificate,*.hc.sbercloud.ru,1806568BD6AD04DACEBB3ED0329,precertificate,22
*.hc.sbercloud.ru,1806568BD6AD04DACEBB3ED0329,precertificate,monitoring.sbercloud.dev,1806568C7E30F233EEAB3EDB305,precertificate,17
monitoring.sbercloud.dev,1806568C7E30F233EEAB3EDB305,precertificate,content.sbercloud.ru,1806568CF7276FEB7EBB3ED0329,precertificate,19
content.sbercloud.ru,1806568CF7276FEB7EBB3ED0329,precertificate,*.apps.ocp-public.sbercloud.ru,1806568D8D35E0E8F95B3ED0329,precertificate,21
*.apps.ocp-public.sbercloud.ru,1806568D8D35E0E8F95B3ED0329,precertificate,*.iam.sbercloud.ru,1806568E4DB9F59A8EBB3ED0329,precertificate,21
*.iam.sbercloud.ru,1806568E4DB9F59A8EBB3ED0329,precertificate,pii.sbercloud.ru,1806568EF629D0BAEEBB3ED0329,precertificate,19
pii.sbercloud.ru,1806568EF629D0BAEEBB3ED0329,precertificate,billing.sbercloud.store,1806568F91CC8E863EBB3ED6355,precertificate,20
billing.sbercloud.store,1806568F91CC8E863EBB3ED6355,precertificate,*.apicapis.ru-moscow-1.hc.sbercloud.ru,1806569023B8050510DCDED0329,precertificate,23
*.apicapis.ru-moscow-1.hc.sbercloud.ru,1806569023B8050510DCDED0329,precertificate,*.b.s3.sbercloud.ru,18065690F8BEC15A0EBB3ED0329,precertificate,21
*.b.s3.sbercloud.ru,18065690F8BEC15A0EBB3ED0329,precertificate,cr.msk.sbercloud.ru,1806569185B9030A3EBB3ED0329,precertificate,20
