CommonName,Type,CA,SerialNumber,LogName,LogYear,ExpireTime,LogTime,Difference
pro.uservis1.ru,precert,Russian Trusted Sub CA,E80506D2533611EF8A030242AC130004,MDC,2025,2024-11-03 14:27:55.000,2024-08-05 14:27:55.150,1401h32m5s
sportvp.su,precert,Russian Trusted Sub CA,4BDCBCA053B311EF80900242AC130004,MDC,2025,2024-11-04 05:18:20.000,2024-08-06 05:18:20.259,1386h41m40s
infoline.ac.infoline-rk.ru,precert,Russian Trusted Sub CA,8395B7C453D511EFB6400242AC130004,MDC,2025,2024-11-04 09:23:17.000,2024-08-06 09:23:16.640,1382h36m43s
epolis.icbask.com,precert,Russian Trusted Sub CA,48B2D160546F11EFB5660242AC130004,MDC,2025,2024-11-05 03:44:00.000,2024-08-07 03:44:00.339,1364h16m0s
nuc.voskhod.ru,precert,Russian Trusted Sub CA,9FF5624A559F11EFB10E0242AC130004,MDC,2025,2024-11-06 16:02:34.000,2024-08-08 16:00:56.368,1327h57m26s
rassadnikov.ru,precert,Russian Trusted Sub CA,1A7A1BE055AB11EFB29C0242AC130004,MDC,2025,2024-11-06 17:24:44.000,2024-08-08 17:23:06.303,1326h35m16s
itfd.ru,precert,Russian Trusted Sub CA,2B022A4E595B11EF981D0242AC130004,MDC,2025,2024-11-11 10:02:37.000,2024-08-13 10:00:51.204,1213h57m23s
zhs.one,precert,Russian Trusted Sub CA,BCABD532599511EF981D0242AC130004,MDC,2025,2024-11-11 17:01:52.000,2024-08-13 17:00:05.897,1206h58m8s
test.home-edu.ru,precert,Russian Trusted Sub CA,3364ADAE5B1511EF83770242AC130004,MDC,2025,2024-11-13 14:46:48.000,2024-08-15 14:44:59.186,1161h13m12s
bahmurov.ru,precert,Russian Trusted Sub CA,DF4952CC5B4311EFB3A40242AC130004,MDC,2025,2024-11-13 20:20:53.000,2024-08-15 20:19:04.041,1155h39m7s
is.isecu.ru,precert,Russian Trusted Sub CA,232FBA64637B11EFBCAF0242AC130004,MDC,2025,2024-11-24 07:16:39.000,2024-08-26 07:14:32.217,904h43m21s
gisbb-testauth.sechenov.ru,precert,Russian Trusted Sub CA,235C8526637B11EFBCAF0242AC130004,MDC,2025,2024-11-24 07:16:39.000,2024-08-26 07:14:32.500,904h43m21s
arsenal-ms.ru,precert,Russian Trusted Sub CA,2327C804637B11EFBCAF0242AC130004,MDC,2025,2024-11-24 07:16:39.000,2024-08-26 07:14:32.179,904h43m21s
waterfall-it.ru,precert,Russian Trusted Sub CA,2340D236637B11EF9AC30242AC130004,MDC,2025,2024-11-24 07:16:39.000,2024-08-26 07:14:32.319,904h43m21s
challenge-brokers.ru,precert,Russian Trusted Sub CA,232C8934637B11EF9AC30242AC130004,MDC,2025,2024-11-24 07:16:39.000,2024-08-26 07:14:32.210,904h43m21s
kagamishell.ru,precert,Russian Trusted Sub CA,B97B2680639D11EF99660242AC130004,MDC,2025,2024-11-24 11:24:14.000,2024-08-26 11:22:06.972,900h35m46s
sedskfo.ru,precert,Russian Trusted Sub CA,F258C66A63B111EFA9440242AC130004,MDC,2025,2024-11-24 13:48:59.000,2024-08-26 13:46:52.147,898h11m1s
elecsnet.ru,precert,Russian Trusted Sub CA,BAF6CE2063BF11EF9AC30242AC130004,MDC,2025,2024-11-24 15:27:39.000,2024-08-26 15:25:32.064,896h32m21s
sr-rsk-032.corp.gidroogk.com,precert,Russian Trusted Sub CA,68E04BF8647711EF99660242AC130004,MDC,2025,2024-11-25 13:22:29.000,2024-08-27 13:20:20.147,874h37m31s
online.dvpion.ru,precert,Russian Trusted Sub CA,3AA93C209D8111EF82E50242AC120002,MDC,2024,2025-02-06 03:26:23.000,2024-11-08 03:26:23.264,867h26m24s
pay.elecsnet.ru,precert,Russian Trusted Sub CA,9E218386652611EFBC0D0242AC130004,MDC,2025,2024-11-26 10:16:40.000,2024-08-28 10:16:40.842,853h43m20s
1.elecsnet.ru,precert,Russian Trusted Sub CA,752EBB14652711EFBC0D0242AC130004,MDC,2025,2024-11-26 10:22:41.000,2024-08-28 10:22:41.622,853h37m19s
1elecsnet.ru,precert,Russian Trusted Sub CA,4B2FE256652811EFA01F0242AC130004,MDC,2025,2024-11-26 10:28:40.000,2024-08-28 10:28:40.672,853h31m20s
ch-sever.ru,precert,Russian Trusted Sub CA,43C7642C9CEF11EF87E40242AC120002,MDC,2024,2025-02-05 10:01:32.000,2024-11-07 10:01:32.087,850h1m33s
bro-software.ru,precert,Russian Trusted Sub CA,4BE5CF9C9CD911EF82E50242AC120002,MDC,2024,2025-02-05 07:24:16.000,2024-11-07 07:24:16.731,847h24m17s
