CommonName,CA,SerialNumber,LogName1,LogYear1,Type1,LogTime1,LogName2,LogYear2,Type2,LogTime2
d4rkd3n1337.ru,Russian Trusted Sub CA,D1D6AAB4EA7C11EE8BD60242AC1D0003,VK,2024,precert,2024-03-25 07:53:51.317,Yandex,2024,precert,2024-03-25 07:53:51.317
scriptsib.ru,Russian Trusted Sub CA,A6C75E8E53211EE9D860242AC1D0003,MDC,2024,precert,2024-03-18 14:15:58.158,Yandex,2024,precert,2024-03-18 14:15:58.158
has6070248.nichost.ru,Russian Trusted Sub CA,ED74A7CA129611EF8C3D0242AC1D0003,MDC,2024,precert,2024-05-15 08:41:31.053,VK,2024,precert,2024-05-15 08:41:31.053
cpprkam.ru,Russian Trusted Sub CA,E5BD7F3AE7C511EEBF090242AC1D0003,VK,2024,precert,2024-03-21 20:59:24.516,Yandex,2024,precert,2024-03-21 20:59:24.516
vstrahoff.ru,Russian Trusted Sub CA,BE51850CED1711EEA5E50242AC1D0003,MDC,2024,precert,2024-03-28 15:27:52.873,Yandex,2024,precert,2024-03-28 15:27:52.873
za.lentu.ru,Russian Trusted Sub CA,DB4B74DE990011EFBCC30242AC120002,MDC,2025,precert,2024-11-02 09:57:23.039,MDC,2024,precert,2024-11-02 09:57:23.039
dvneomed.ru,Russian Trusted Sub CA,A0D98E3E6A9411EF9A6F0242AC130004,MDC,2025,precert,2024-09-04 08:06:45.859,MDC,2024,precert,2024-09-04 08:06:45.859
nuc.voskhod.ru,Russian Trusted Sub CA,8924B2127B2B11EFA3220242AC120002,MDC,2025,precert,2024-09-25 10:47:18.686,MDC,2024,precert,2024-09-25 10:47:18.686
infracom.space,Russian Trusted Sub CA,516BB1E73FB11EFBE530242AC130004,MDC,2025,precert,2024-09-16 07:12:23.149,MDC,2024,precert,2024-09-16 07:12:23.149
1.elecsnet.ru,Russian Trusted Sub CA,752EBB14652711EFBC0D0242AC130004,MDC,2025,precert,2024-08-28 10:22:41.622,MDC,2024,precert,2024-08-28 10:22:41.622
online.dvpion.ru,Russian Trusted Sub CA,3AA93C209D8111EF82E50242AC120002,MDC,2025,precert,2024-11-08 03:26:23.264,MDC,2024,precert,2024-11-08 03:26:23.264
nuc.voskhod.ru,Russian Trusted Sub CA,D738BFA6800E11EF96F90242AC120003,MDC,2025,precert,2024-10-01 16:04:30.098,MDC,2024,precert,2024-10-01 16:04:30.098
axm.su,Russian Trusted Sub CA,41137B8E0EA211EFB76F0242AC1D0003,VK,2024,precert,2024-05-10 07:52:31.160,Yandex,2024,precert,2024-05-10 07:52:31.160
nuc.voskhod.ru,Russian Trusted Sub CA,7AC3C18E984C11EFBCC30242AC120002,MDC,2025,precert,2024-11-01 12:26:11.685,MDC,2024,precert,2024-11-01 12:26:11.685
